review_id,review_sentence_id,store_id,store_name,title,sentence,reviewer_name,rating,sentiment,posted_at
194238217,198167671,186406,焼肉きんぐ 羽根店,,他国の店員さんもいましたがその方たちの接客はそれなりに良いと思いました。,funkyboy,3.0,POSITIVE,2025-02-11 16:49:51.3082
194238032,198167315,186000,焼肉きんぐ 那覇久茂地店,,安くてデカ盛りのローストポーク食べ放題,林林,5.0,POSITIVE,2025-02-11 16:33:17.807767
194238032,198167317,186000,焼肉きんぐ 那覇久茂地店,,2回以上のご来店をお勧めします,林林,5.0,POSITIVE,2025-02-11 16:33:17.807767
194238216,198167789,186407,焼肉きんぐ 蒲郡店,,値段と品目、味には非常に満足しています。,三浦寛樹,4.0,POSITIVE,2025-02-11 15:45:41.585355
194238216,198167791,186407,焼肉きんぐ 蒲郡店,,総合的にまた行こうと思えるくらいの満足度です。,三浦寛樹,4.0,POSITIVE,2025-02-11 15:45:41.585355
194238216,198167793,186407,焼肉きんぐ 蒲郡店,,とろろご飯がめちゃくちゃ好きです。,三浦寛樹,4.0,POSITIVE,2025-02-11 15:45:41.585355
194238216,198167794,186407,焼肉きんぐ 蒲郡店,,食べ放題で、好きなだけ気兼ねなく食事ができるのがありがたいです。,三浦寛樹,4.0,POSITIVE,2025-02-11 15:45:41.585355
194238216,198167808,186407,焼肉きんぐ 蒲郡店,,不満点はありますが、会話でなんとかなる内容なので総合的に満足はしています。,三浦寛樹,4.0,POSITIVE,2025-02-11 15:45:41.585355
194238201,198167659,186341,焼肉きんぐ 春日部店,,１回しか、行ってないのでそのときいた状況とスタッフしかわかりませんが、商品の提供スピードがかなり早かったです！,シーサーシーサーうれしいさー,4.0,POSITIVE,2025-02-11 15:02:49.605705
194238201,198167660,186341,焼肉きんぐ 春日部店,,時間は80分程度の食べ放題で、割と焼く時間含め、ゆとりはないのだが、スタッフの提供スピードが早いので無駄なく食べれます♪♪,シーサーシーサーうれしいさー,4.0,POSITIVE,2025-02-11 15:02:49.605705
194238201,198167661,186341,焼肉きんぐ 春日部店,,混雑していても、ロボットとかを使いながら提供したり、お皿をテキパキ下げたりと一生懸命な感じです♪,シーサーシーサーうれしいさー,4.0,POSITIVE,2025-02-11 15:02:49.605705
194238201,198167662,186341,焼肉きんぐ 春日部店,,接客がどうこうというよりは、どちらかというと、一生懸命働いているスタッフ達というイメージです♪,シーサーシーサーうれしいさー,4.0,POSITIVE,2025-02-11 15:02:49.605705
194238201,198167663,186341,焼肉きんぐ 春日部店,,お客さん側は無駄なく食べ放題を楽しめるので、満足できる良い店舗だと思いました♪♪,シーサーシーサーうれしいさー,4.0,POSITIVE,2025-02-11 15:02:49.605705
194238089,198167446,186157,焼肉きんぐ 那覇新都心店,,レストランへの入店を手伝ってくれたり、積極的に思い出させてくれたり、焼き網の交換を喜んで手伝ってくれたりした店のスタッフに心から感謝します。,Chien Chen,5.0,POSITIVE,2025-02-11 13:41:47.510501
194238089,198167447,186157,焼肉きんぐ 那覇新都心店,,台湾人にはここで食べることをお勧めします。,Chien Chen,5.0,POSITIVE,2025-02-11 13:41:47.510501
194238213,198167686,186403,焼肉きんぐ 徳島応神店,,以前は店内で待ちましたが、アプリで予約できるのが非常に便利ですね。,のりさん,4.0,POSITIVE,2025-02-11 10:43:19.563954
194238213,198167687,186403,焼肉きんぐ 徳島応神店,,当日は予約時間より早くチェックインしましたが、空いていたのですぐに席に案内してくれました。,のりさん,4.0,POSITIVE,2025-02-11 10:43:19.563954
194238213,198167691,186403,焼肉きんぐ 徳島応神店,,料金も比較的リーズナブルでしたし、QR決済にも対応していて良かったです。,のりさん,4.0,POSITIVE,2025-02-11 10:43:19.563954
194238034,198167297,186000,焼肉きんぐ 那覇久茂地店,,サービスは良いです。,時尚休閒,3.0,POSITIVE,2025-02-11 09:47:04.364967
194238095,198168202,186172,焼肉きんぐ 新座野火止店,,ここはスタッフがとてもテキパキしていて、とても接客がすごいなって思います。,Eino Shota,5.0,POSITIVE,2025-02-11 09:41:38.909094
